date,Id,content,username,Like_Count
2022-01-30 10:45:02+00:00,1.48774E+18,"Imagine making it to ManUnited team, playing with players like Ronaldo at the age of 20, then f**cking it all up… #greenwoodout",MoSyed110,8907
2023-02-03 11:04:11+00:00,1.62146E+18,"All these noise on  #greenwoodOUT ,,let's settle this poll once and for all. Retweet for Saka/Foden like for Greenwood. https://t.co/OUFbYtt68W",ghostlyspyder_l,3270
2022-01-30 19:04:49+00:00,1.48786E+18,Honestly this man deserves a Nobel prize.never seen someone speak more facts in my life #Greenwood #goldbridge #greenwoodout https://t.co/B9ylamj3pT,kingnketiah30,1615
2023-02-03 12:05:27+00:00,1.62148E+18,"Our rival club fans disguising themselves as ManU fans to say #greenwoodOUT.

I saw wat you guys are doing ..you are not just ready for Greenwood yet. Is normal to be afraid of a skillful player, but don't disguise it.

Greenwood just like everyone else deserves a second chance. https://t.co/idE8cSUgS3",Obident_Dentist,1518
2023-02-03 08:18:31+00:00,1.62142E+18,"All these noise on  #greenwoodOUT ,,let's settle this poll once and for all. Retweet for Saka/Foden like for Greenwood. https://t.co/9mwQsBbpYc",kelvin_ramah,1114
2022-01-30 07:30:39+00:00,1.48769E+18,"@masongreenwood You do not deserve to wear the United badge if what I've seen is true
#GlazersOut
#GreenwoodOut",AntonySZNS,1023
2022-01-30 08:59:50+00:00,1.48771E+18,"Can we take a moment and realise how different two players with similar journeys can be. Marcus, our future captain, ladies and gents 🙌🏼 #greenwoodout #noscumatOT https://t.co/dgr9AE7sQw",fpl_santiago,778
2022-01-30 15:13:40+00:00,1.48781E+18,"I don't care if he Greenwood is a football player or a bin man. 
How a female or a male should feel in a relationship is affection, trust and passion. Better each other.
Not scared, hurt and afraid. 
Football has lost a talent sure but gained Harriet her voice. #greenwoodout",Witterbird84,776
2023-02-03 07:44:33+00:00,1.62141E+18,Wait y’all think if United let go of greenwood no big team in Europe would sign him up quickly🤣🤣🤣 lmao you must very dumb…true United fans welcomes our golden boy back w open arms ❤️❤️   #greenwoodOUT https://t.co/cGkjQOGWuw,Dangizzzzz,610
2023-02-03 14:26:23+00:00,1.62152E+18,"#greenwoodOUT is only and agenda cooked by rivals! We gladly welcome our boy back!
Let he that is clean continue to chastize Greenwood. https://t.co/VaQjzSqVAI",Rashad_Ginola,408