date,Id,content,username,reply_count
2023-02-02 16:02:52+00:00,1.62118E+18,"Just seen the Greenwood news, I don’t want him back anywhere near the team, money talks and it’s the only reason that the charges have been dropped, if you can raise your hands to a woman you’re the lowest of the low #GlazersOut #GreenwoodOUT https://t.co/SxxYkyu8Rh",petesunitedPOV,173
2023-02-03 07:38:31+00:00,1.62141E+18,"#Greenwood and all @ManUtd fans backing this monster is everything that is wrong with sport and this country. 

#greenwoodOUT https://t.co/zm4uTGnQnO",dannnsolero,108
2023-02-03 12:05:27+00:00,1.62148E+18,"Our rival club fans disguising themselves as ManU fans to say #greenwoodOUT.

I saw wat you guys are doing ..you are not just ready for Greenwood yet. Is normal to be afraid of a skillful player, but don't disguise it.

Greenwood just like everyone else deserves a second chance. https://t.co/idE8cSUgS3",Obident_Dentist,84
2023-02-02 17:26:35+00:00,1.6212E+18,If Mason Greenwood ever plays for united again I’m getting rid of my season ticket end of. #greenwoodOUT #MUFC,tjkeaveny1,80
2023-02-02 15:01:44+00:00,1.62116E+18,If I'm the manager I'm telling the board it's him or me. No way I'm allowing that player back into the dressing room. #GreenwoodOut,TenHagOutOf10,53
2023-02-03 10:33:48+00:00,1.62146E+18,"For dis life 😂 fear women.

Moreover,  maybe that girlfriend saw how Rashford, Garnacho are hugging the headlines and she knew if her boyfriend was playing he will be in the mix. Jealousy set in. She has to come out. clean😁

#fearwomen
#Greenwood
#greenwoodOUT https://t.co/ZuZHuhthGC",zukky04,48
2023-02-03 11:35:01+00:00,1.62147E+18,Greenwood and the glazers out of our club by the end of the season and that will be a fuxking great year! #GlazersOut #greenwoodOUT https://t.co/1Xz7lNEAsR,Busby1999,46
2023-02-03 10:13:55+00:00,1.62145E+18,"The Law may release Greenwood, but the society never shouldn't.

#greenwoodOUT https://t.co/Yj9XMxSDTf",MyatHtetKhant28,44
2023-02-03 07:44:33+00:00,1.62141E+18,Wait y’all think if United let go of greenwood no big team in Europe would sign him up quickly🤣🤣🤣 lmao you must very dumb…true United fans welcomes our golden boy back w open arms ❤️❤️   #greenwoodOUT https://t.co/cGkjQOGWuw,Dangizzzzz,43
2023-02-03 07:53:42+00:00,1.62142E+18,Y'all think someone who fucking did this deserve a fucking second chance? Fuck no! #greenwoodOUT https://t.co/ZzSqE7lyrw,valdype,41